side,entry_ts,entry,stop,tp,exit_ts,exit,reason,r_mult
SHORT,1767587400000,92378.74,92526.23,92110.58,1767588600000,92581.74,STOP,-1.376
SHORT,1767594600000,92184.56,92299.8,91975.03,1767594900000,92355.18,STOP,-1.481
LONG,1767597300000,92639.75,92529.72,92839.8,1767597300000,92474.2,STOP,-1.505
LONG,1767601500000,92767.13,92685.41,92915.71,1767601500000,92629.8,STOP,-1.681
SHORT,1767602700000,92388.43,92475.13,92230.8,1767602700000,92530.62,STOP,-1.64
SHORT,1767603900000,92269.01,92368.35,92088.39,1767603900000,92423.77,STOP,-1.558
LONG,1767606600000,92801.55,92690.13,93004.12,1767606600000,92634.52,STOP,-1.499
LONG,1767608100000,92927.42,92814.72,93132.34,1767608400000,92759.03,STOP,-1.494
LONG,1767610500000,93156.36,93025.19,93394.86,1767610500000,92969.37,STOP,-1.426
SHORT,1767617100000,92717.64,92834.25,92505.6,1767617100000,92889.96,STOP,-1.478
SHORT,1767620700000,92505.46,92626.8,92284.85,1767620700000,92682.38,STOP,-1.458
LONG,1767624300000,93325.96,93129.61,93682.96,1767624300000,93073.73,STOP,-1.285
